VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,3366,Tanqueray Rangpur Gin,24.45,35.99,1750.0,6132.0,149927.40000000017,6009.0,211241.91000000108,136489.24999999953,11045.009999999958,257032.07000000007,61314.51000000091,29.025731683642036,0.9799412915851272,1.4089613372872527
3960,DIAGEO NORTH AMERICA INC,3761,Ciroc Apple Vodka,34.28,47.99,1750.0,4369.0,149769.32000000012,4305.0,211730.95000000022,70585.74999999978,7910.779999999994,257032.07000000007,61961.63000000009,29.264323425554945,0.9853513389791715,1.4137137699496802
11567,CAMPARI AMERICA,8085,Wild Turkey,25.59,35.99,1750.0,5823.0,149010.5700000002,4555.0,150722.45,110263.7299999994,8373.740000000007,20964.809999999998,1711.879999999801,1.135783023696736,0.7822428301562768,1.0114883125405116
3960,DIAGEO NORTH AMERICA INC,3704,Ciroc Pineapple Vodka,18.37,24.99,750.0,8104.0,148870.47999999995,8401.0,212825.99000000107,99854.8599999993,6618.389999999991,257032.07000000007,63955.510000001115,30.050610830002856,1.0366485686080948,1.4296050499736492
1485,CASTLE BRANDS CORP.,4224,Goslings Black Seal Rum 80,11.44,14.99,750.0,13009.0,148822.96000000002,13082.0,212285.18000000165,122716.59999999858,10304.539999999926,8497.589999999998,63462.22000000163,29.894795293765274,1.0056114997309555,1.4264276157388727
3960,DIAGEO NORTH AMERICA INC,3835,Smirnoff Raspberry Vodka,8.2,10.99,750.0,18129.0,148657.80000000016,17843.0,213796.57000000222,121701.0199999981,14053.519999999826,257032.07000000007,65138.770000002056,30.4676403367937,0.9842241712173865,1.438179294998325
9815,WINE GROUP INC,14701,Cupcake Red Velvet,4.57,6.99,750.0,32481.0,148438.1700000003,30834.0,232214.66000000146,74383.94999999834,3450.0600000000472,27100.409999999996,83776.49000000115,36.077175317010834,0.9492934330839568,1.5643864378010115
4425,MARTIGNETTI COMPANIES,13661,Duckhorn Decoy Pnt Nr,11.61,21.99,750.0,12778.0,148352.57999999987,12362.0,228007.94000000058,89305.9900000004,1380.6900000000053,144929.24,79655.36000000071,34.93534479544901,0.9674440444514009,1.5369327584326526
17035,PERNOD RICARD USA,8102,Absolut Mandrin,18.65,24.99,1750.0,7901.0,147353.65000000002,7916.0,198849.84000000136,128946.67999999918,14549.7599999999,123780.21999999997,51496.19000000134,25.897023603338575,1.0018984938615365,1.3494734606166956
9552,M S WALKER INC,3637,Zhenka Vodka Plastic,3.89,5.29,750.0,37837.0,147185.93000000055,37594.0,198872.26000000656,86814.19000000309,29594.800000000236,55551.819999999985,51686.33000000601,25.989713195799307,0.9935777149351164,1.3511635249375116
3960,DIAGEO NORTH AMERICA INC,4798,Sambuca Romana Liqueur,1.54,1.99,50.0,95268.0,146712.71999999994,94369.0,187794.30999999892,36488.63999999787,4937.660000000046,257032.07000000007,41081.58999999898,21.875843842126642,0.9905634630725952,1.2800138256587363
3960,DIAGEO NORTH AMERICA INC,3827,Popov Vodka,9.28,12.99,1750.0,15804.0,146661.12000000034,15759.0,204709.41000000108,91852.28999999874,28956.34000000028,257032.07000000007,58048.290000000736,28.356434616269194,0.9971526195899773,1.395798763844164
12546,JIM BEAM BRANDS COMPANY,1468,Knob Creek Single Barrel Rsv,31.49,44.99,750.0,4646.0,146302.54,4288.0,182518.12000000058,132379.8699999996,3380.6400000000135,123880.96999999999,36215.58000000057,19.842183340481732,0.9229444683598794,1.2475389695900054
11567,CAMPARI AMERICA,3818,Cabo Wabo Blanco Tequila,21.73,29.99,750.0,6730.0,146242.8999999999,6641.0,212452.59000000134,151740.66000000027,5233.260000000003,20964.809999999998,66209.69000000143,31.16445414951214,0.986775631500743,1.4527378081260798
7239,REMY COINTREAU USA INC,5233,Cointreau Liqueur,14.5,18.99,375.0,10071.0,146029.5,9825.0,198561.7500000015,133100.20999999906,3853.209999999968,16978.669999999995,52532.25000000151,26.456379438638667,0.9755734286565386,1.3597372448717657
3960,DIAGEO NORTH AMERICA INC,5392,Goldschlager Cinnamon Schnps,13.63,17.99,750.0,10559.0,143919.17000000004,10511.0,202824.89000000132,128395.74999999904,8280.879999999966,257032.07000000007,58905.72000000128,29.04264856251168,0.9954541149730088,1.4092972465030285
1392,CONSTELLATION BRANDS INC,24455,Franciscan Cab Svgn Napa,11.71,20.99,750.0,12258.0,143541.18000000008,11732.0,235731.90999999974,95855.99999999897,1309.9900000000027,79528.99,92190.72999999966,39.10829467253702,0.9570892478381465,1.6422598030753237
12546,JIM BEAM BRANDS COMPANY,3158,Pinnacle Tropical Punch,12.77,16.99,1750.0,11226.0,143356.0200000001,11058.0,185931.42000000112,126555.72999999869,20322.800000000076,123880.96999999999,42575.40000000101,22.89844287748717,0.9850347407803314,1.2969906670121072
3960,DIAGEO NORTH AMERICA INC,5847,Godiva Chocolate Liqueur,17.31,23.99,750.0,8251.0,142824.81,8181.0,188616.19000000012,122957.079999999,6446.02000000001,257032.07000000007,45791.38000000012,24.277544785524558,0.991516179856987,1.320612224164696
9552,M S WALKER INC,3272,Sobieski Vodka,13.23,17.99,1750.0,10743.0,142129.88999999975,10722.0,198008.78000000137,124550.83999999877,19704.470000000045,55551.819999999985,55878.890000001615,28.220410226254224,0.9980452387601229,1.3931536849849226
11567,CAMPARI AMERICA,3924,Espolon Blanco Tequila,17.38,26.99,750.0,8162.0,141855.56000000006,8105.0,204392.95000000118,132292.67999999915,6385.849999999992,20964.809999999998,62537.39000000112,30.59664729140646,0.9930164175447195,1.4408525827257042
9165,ULTRA BEVERAGE COMPANY LLP,37822,Frescobaldi Chianti RSV Nip,11.72,26.99,750.0,12078.0,141554.15999999986,10570.0,179836.80000000008,76523.52999999923,1179.5900000000033,68054.70000000003,38282.64000000022,21.287433940105807,0.8751448915383342,1.2704451780152577
3252,E & J GALLO WINERY,33874,Bella Sera Pinot Grigio Del,6.62,12.49,1500.0,21360.0,141403.19999999998,21351.0,231821.4900000014,94092.63999999852,4788.290000000057,61966.909999999996,90418.2900000014,39.0034116336673,0.9995786516853933,1.6394359533589156
8004,SAZERAC CO INC,5109,Dr McGillicuddy's Menth Trav,9.84,13.99,750.0,14335.0,141056.40000000017,14323.0,200642.7700000013,120877.82999999839,11281.679999999898,50293.62000000002,59586.37000000113,29.697740915359542,0.9991628880362748,1.4224293970355195
3664,WILLIAM GRANT & SONS INC,2967,Glenfiddich Solera 15-Yr RS,40.73,59.99,750.0,3463.0,141047.98999999996,2980.0,174601.20000000022,133957.21999999986,2349.4199999999987,30234.42000000001,33553.210000000254,19.21705578197642,0.8605255558764078,1.23788506309094
480,BACARDI USA INC,824,Dewars White Label Scotch,20.76,26.99,1000.0,6787.0,140898.12000000008,6617.0,178592.83000000045,106394.57999999929,6947.849999999973,89286.26999999999,37694.71000000037,21.106508027226106,0.9749521143362311,1.2675316746596785
9552,M S WALKER INC,2890,Four Roses Bourbon,21.25,26.99,750.0,6626.0,140802.5,6491.0,180430.09000000067,129047.61999999924,5116.030000000008,55551.819999999985,39627.590000000666,21.96284998804829,0.9796257168729249,1.281440954528511
